Subject/Number,Course Title,Class Section,Distinct Student Count,Class Enrollment Status,Enrollment Cap,Watilist Cap
MATH-UA 120,Discrete Mathematics,1,17,Dropped,0,
MATH-UA 120,Discrete Mathematics,2,10,Dropped,0,
MATH-UA 120,Discrete Mathematics,3,6,Dropped,0,
MATH-UA 120,Discrete Mathematics,4,6,Dropped,0,
MATH-UA 120,Discrete Mathematics,5,8,Dropped,0,
MATH-UA 120,Discrete Mathematics,6,7,Dropped,0,
MATH-UA 120,Discrete Mathematics,7,7,Dropped,0,
MATH-UA 121,Calculus I,1,25,Dropped,0,
MATH-UA 121,Calculus I,6,21,Dropped,0,
MATH-UA 121,Calculus I,11,22,Dropped,0,
MATH-UA 121,Calculus I,16,32,Dropped,0,
MATH-UA 121,Calculus I,21,13,Dropped,0,
MATH-UA 121,Calculus I,26,20,Dropped,0,
MATH-UA 121,Calculus I,31,25,Dropped,0,
MATH-UA 121,Calculus I,36,10,Dropped,0,
MATH-UA 121,Calculus I,41,14,Dropped,0,
MATH-UA 121,Calculus I,46,6,Dropped,0,
MATH-UA 122,Calculus II,1,11,Dropped,0,
MATH-UA 122,Calculus II,2,18,Dropped,0,
MATH-UA 122,Calculus II,3,11,Dropped,0,
MATH-UA 122,Calculus II,4,7,Dropped,0,
MATH-UA 122,Calculus II,5,12,Dropped,0,
MATH-UA 122,Calculus II,6,10,Dropped,0,
MATH-UA 122,Calculus II,7,16,Dropped,0,
MATH-UA 122,Calculus II,8,12,Dropped,0,
MATH-UA 122,Calculus II,9,9,Dropped,0,
MATH-UA 123,Calculus III,1,8,Dropped,0,
MATH-UA 123,Calculus III,2,10,Dropped,0,
MATH-UA 123,Calculus III,3,13,Dropped,0,
MATH-UA 123,Calculus III,4,9,Dropped,0,
MATH-UA 123,Calculus III,6,15,Dropped,0,
MATH-UA 123,Calculus III,7,9,Dropped,0,
MATH-UA 123,Calculus III,8,7,Dropped,0,
MATH-UA 129,Honors Calculus III,1,3,Dropped,0,
MATH-UA 140,Linear Algebra,1,11,Dropped,35,20
MATH-UA 140,Linear Algebra,2,9,Dropped,40,20
MATH-UA 140,Linear Algebra,3,18,Dropped,40,20
MATH-UA 140,Linear Algebra,4,14,Dropped,50,20
MATH-UA 140,Linear Algebra,5,8,Dropped,41,20
MATH-UA 140,Linear Algebra,6,10,Dropped,40,20
MATH-UA 140,Linear Algebra,7,9,Dropped,40,20
MATH-UA 140,Linear Algebra,8,17,Dropped,40,20
MATH-UA 140,Linear Algebra,9,13,Dropped,42,99
MATH-UA 140,Linear Algebra,10,14,Dropped,50,99
MATH-UA 148,Honors Linear Algebra,1,8,Dropped,40,20
MATH-UA 211,Mathematics for Economics I,1,19,Dropped,0,
MATH-UA 211,Mathematics for Economics I,6,15,Dropped,0,
MATH-UA 211,Mathematics for Economics I,11,22,Dropped,0,
MATH-UA 211,Mathematics for Economics I,16,23,Dropped,0,
MATH-UA 212,Mathematics for Economics II,1,10,Dropped,0,
MATH-UA 212,Mathematics for Economics II,6,6,Dropped,0,
MATH-UA 213,Mathematics for Economics III,1,6,Dropped,0,
MATH-UA 233,Theory of Probability,1,9,Dropped,58,40
MATH-UA 233,Theory of Probability,3,13,Dropped,58,40
MATH-UA 248,Theory of Numbers,1,19,Dropped,40,20
MATH-UA 250,Mathematics of Finance,1,19,Dropped,0,
MATH-UA 250,Mathematics of Finance,3,15,Dropped,0,
MATH-UA 251,Intro to Math Modeling,1,20,Dropped,40,40
MATH-UA 251,Intro to Math Modeling,3,13,Dropped,40,40
MATH-UA 252,Numerical Analysis,1,15,Dropped,40,50
MATH-UA 252,Numerical Analysis,3,10,Dropped,40,10
MATH-UA 262,Ordinary Diff Equations,1,13,Dropped,50,40
MATH-UA 262,Ordinary Diff Equations,3,11,Dropped,40,40
MATH-UA 263,Partial Diff Equations,1,7,Dropped,0,
MATH-UA 325,Analysis,1,14,Dropped,0,
MATH-UA 325,Analysis,3,9,Dropped,0,
MATH-UA 325,Analysis,5,17,Dropped,0,
MATH-UA 328,Honors Analysis I,1,10,Dropped,0,
MATH-UA 343,Algebra,1,13,Dropped,40,20
MATH-UA 343,Algebra,3,11,Dropped,40,20
MATH-UA 343,Algebra,5,8,Dropped,40,20
MATH-UA 348,Honors Algebra I,1,14,Dropped,40,40
MATH-UA 393,Honors I,1,4,Dropped,0,
MATH-UA 395,Special Topics,1,4,Dropped,0,
MATH-UA 9,Algebra and Calculus,1,25,Dropped,0,
MATH-UA 9,Algebra and Calculus,6,25,Dropped,0,
MATH-UA 9,Algebra and Calculus,11,14,Dropped,0,
