Course,CourseTitle,Section,DistinctStudentCount,ClassEnrollmentStatus,EnrollmentCap,WaitlistCap
MATH-UA120,DiscreteMathematics,1,13,Dropped,50,10
MATH-UA120,DiscreteMathematics,2,16,Dropped,50,10
MATH-UA120,DiscreteMathematics,3,14,Dropped,50,10
MATH-UA120,DiscreteMathematics,4,14,Dropped,50,10
MATH-UA120,DiscreteMathematics,5,5,Dropped,50,10
MATH-UA120,DiscreteMathematics,6,15,Dropped,50,10
MATH-UA120,DiscreteMathematics,7,7,Dropped,50,10
MATH-UA120,DiscreteMathematics,8,13,Dropped,50,10
MATH-UA121,CalculusI,1,25,Dropped,160,20
MATH-UA121,CalculusI,6,20,Dropped,160,20
MATH-UA121,CalculusI,11,15,Dropped,160,20
MATH-UA121,CalculusI,16,9,Dropped,160,20
MATH-UA121,CalculusI,21,20,Dropped,160,20
MATH-UA121,CalculusI,26,6,Dropped,160,10
MATH-UA121,CalculusI,31,8,Dropped,74,20
MATH-UA121,CalculusI,36,8,Dropped,128,20
MATH-UA121,CalculusI,41,13,Dropped,160,20
MATH-UA121,CalculusI,46,4,Dropped,70,10
MATH-UA122,CalculusII,1,8,Dropped,50,10
MATH-UA122,CalculusII,2,20,Dropped,50,10
MATH-UA122,CalculusII,3,10,Dropped,50,10
MATH-UA122,CalculusII,4,2,Dropped,50,11
MATH-UA122,CalculusII,5,10,Dropped,50,10
MATH-UA122,CalculusII,6,10,Dropped,50,10
MATH-UA122,CalculusII,7,10,Dropped,50,10
MATH-UA122,CalculusII,8,11,Dropped,50,10
MATH-UA123,CalculusIII,1,6,Dropped,50,11
MATH-UA123,CalculusIII,2,7,Dropped,50,10
MATH-UA123,CalculusIII,3,7,Dropped,50,10
MATH-UA123,CalculusIII,4,15,Dropped,45,10
MATH-UA123,CalculusIII,5,2,Dropped,56,30
MATH-UA123,CalculusIII,6,11,Dropped,40,10
MATH-UA123,CalculusIII,7,8,Dropped,40,10
MATH-UA129,HonorsCalculusIII,1,4,Dropped,24,10
MATH-UA140,LinearAlgebra,1,22,Dropped,161,20
MATH-UA140,LinearAlgebra,6,16,Dropped,120,20
MATH-UA140,LinearAlgebra,11,34,Dropped,145,20
MATH-UA140,LinearAlgebra,16,32,Dropped,122,10
MATH-UA140,LinearAlgebra,21,16,Dropped,45,10
MATH-UA148,HonorsLinearAlgebra,1,7,Dropped,33,15
MATH-UA211,MathematicsforEconomicsI,1,30,Dropped,170,25
MATH-UA211,MathematicsforEconomicsI,6,30,Dropped,170,20
MATH-UA211,MathematicsforEconomicsI,11,34,Dropped,180,30
MATH-UA211,MathematicsforEconomicsI,16,22,Dropped,180,30
MATH-UA212,MathematicsforEconomicsII,1,33,Dropped,160,20
MATH-UA212,MathematicsforEconomicsII,6,26,Dropped,160,20
MATH-UA213,MathematicsforEconomicsIII,1,10,Dropped,140,20
MATH-UA228,FundamentalDynamicsofEarth'sAtmosphereandClimate,1,7,Dropped,25,10
MATH-UA233,TheoryofProbability,1,17,Dropped,63,20
MATH-UA233,TheoryofProbability,1,6,Dropped,70,0
MATH-UA233,TheoryofProbability,3,14,Dropped,40,30
MATH-UA233,TheoryofProbability,5,5,Dropped,17,20
MATH-UA234,MathematicalStatistics,1,16,Dropped,70,20
MATH-UA240,Combinatorics,1,18,Dropped,40,20
MATH-UA248,TheoryofNumbers,1,13,Dropped,39,20
MATH-UA250,MathematicsofFinance,1,15,Dropped,45,30
MATH-UA250,MathematicsofFinance,3,6,Dropped,45,20
MATH-UA251,IntrotoMathModeling,1,18,Dropped,55,30
MATH-UA251,IntrotoMathModeling,3,10,Dropped,55,20
MATH-UA251,IntrotoMathModeling,5,9,Dropped,45,10
MATH-UA252,NumericalAnalysis,1,21,Dropped,44,30
MATH-UA252,NumericalAnalysis,3,10,Dropped,35,30
MATH-UA255,MathematicsandBiology,1,1,Dropped,15,10
MATH-UA262,OrdinaryDiffEquations,1,14,Dropped,39,30
MATH-UA262,OrdinaryDiffEquations,3,11,Dropped,35,20
MATH-UA262,OrdinaryDiffEquations,5,8,Dropped,19,20
MATH-UA263,PartialDiffEquations,1,11,Dropped,40,10
MATH-UA325,Analysis,1,1,Dropped,70,17
MATH-UA325,Analysis,1,17,Dropped,70,0
MATH-UA325,Analysis,4,12,Dropped,70,10
MATH-UA325,Analysis,7,6,Dropped,60,20
MATH-UA328,HonorsAnalysisI,1,10,Dropped,28,10
MATH-UA343,Algebra,1,10,Dropped,35,10
MATH-UA343,Algebra,1,2,Dropped,70,0
MATH-UA343,Algebra,3,8,Dropped,38,10
MATH-UA343,Algebra,5,12,Dropped,38,10
MATH-UA348,HonorsAlgebraI,1,5,Dropped,36,10
MATH-UA393,HonorsI,1,4,Dropped,22,10
MATH-UA395,SpecialTopics,1,2,Dropped,35,10
MATH-UA9,AlgebraandCalculus,1,14,Dropped,160,15
MATH-UA9,AlgebraandCalculus,6,18,Dropped,160,20
MATH-UA9,AlgebraandCalculus,11,15,Dropped,128,10
