Term,Course,CourseTitle,ClassSection,DistinctStudentCount,ClassEnrollmentStatus
Fall2020,MATH-UA120,DiscreteMathematics,1,13,Dropped
Fall2020,MATH-UA120,DiscreteMathematics,1,45,Enrolled
Fall2020,MATH-UA120,DiscreteMathematics,2,16,Dropped
Fall2020,MATH-UA120,DiscreteMathematics,2,50,Enrolled
Fall2020,MATH-UA120,DiscreteMathematics,3,14,Dropped
Fall2020,MATH-UA120,DiscreteMathematics,3,40,Enrolled
Fall2020,MATH-UA120,DiscreteMathematics,4,14,Dropped
Fall2020,MATH-UA120,DiscreteMathematics,4,50,Enrolled
Fall2020,MATH-UA120,DiscreteMathematics,5,5,Dropped
Fall2020,MATH-UA120,DiscreteMathematics,5,48,Enrolled
Fall2020,MATH-UA120,DiscreteMathematics,6,15,Dropped
Fall2020,MATH-UA120,DiscreteMathematics,6,36,Enrolled
Fall2020,MATH-UA120,DiscreteMathematics,7,7,Dropped
Fall2020,MATH-UA120,DiscreteMathematics,7,50,Enrolled
Fall2020,MATH-UA120,DiscreteMathematics,8,13,Dropped
Fall2020,MATH-UA120,DiscreteMathematics,8,41,Enrolled
Fall2020,MATH-UA121,CalculusI,1,25,Dropped
Fall2020,MATH-UA121,CalculusI,1,157,Enrolled
Fall2020,MATH-UA121,CalculusI,6,20,Dropped
Fall2020,MATH-UA121,CalculusI,6,154,Enrolled
Fall2020,MATH-UA121,CalculusI,11,15,Dropped
Fall2020,MATH-UA121,CalculusI,11,145,Enrolled
Fall2020,MATH-UA121,CalculusI,16,9,Dropped
Fall2020,MATH-UA121,CalculusI,16,160,Enrolled
Fall2020,MATH-UA121,CalculusI,21,20,Dropped
Fall2020,MATH-UA121,CalculusI,21,56,Enrolled
Fall2020,MATH-UA121,CalculusI,26,6,Dropped
Fall2020,MATH-UA121,CalculusI,26,80,Enrolled
Fall2020,MATH-UA121,CalculusI,31,8,Dropped
Fall2020,MATH-UA121,CalculusI,31,70,Enrolled
Fall2020,MATH-UA121,CalculusI,36,8,Dropped
Fall2020,MATH-UA121,CalculusI,36,128,Enrolled
