Term,Course,CourseTitle,ClassSection,DistinctStudentCount,ClassEnrollmentStatus
Spring2020,MATH-UA102,IntrotoStatisticsandResearchMethods,1,15,Enrolled
Spring2020,MATH-UA120,DiscreteMathematics,1,14,Dropped
Spring2020,MATH-UA120,DiscreteMathematics,1,40,Enrolled
Spring2020,MATH-UA120,DiscreteMathematics,2,26,Dropped
Spring2020,MATH-UA120,DiscreteMathematics,2,33,Enrolled
Spring2020,MATH-UA120,DiscreteMathematics,3,13,Dropped
Spring2020,MATH-UA120,DiscreteMathematics,3,37,Enrolled
Spring2020,MATH-UA120,DiscreteMathematics,4,8,Dropped
Spring2020,MATH-UA120,DiscreteMathematics,4,45,Enrolled
Spring2020,MATH-UA120,DiscreteMathematics,5,12,Dropped
Spring2020,MATH-UA120,DiscreteMathematics,5,36,Enrolled
Spring2020,MATH-UA120,DiscreteMathematics,6,15,Dropped
Spring2020,MATH-UA120,DiscreteMathematics,6,40,Enrolled
Spring2020,MATH-UA120,DiscreteMathematics,7,17,Dropped
Spring2020,MATH-UA120,DiscreteMathematics,7,40,Enrolled
Spring2020,MATH-UA120,DiscreteMathematics,8,13,Dropped
Spring2020,MATH-UA120,DiscreteMathematics,8,43,Enrolled
Spring2020,MATH-UA121,CalculusI,1,36,Dropped
Spring2020,MATH-UA121,CalculusI,1,129,Enrolled
Spring2020,MATH-UA121,CalculusI,6,24,Dropped
Spring2020,MATH-UA121,CalculusI,6,91,Enrolled
Spring2020,MATH-UA121,CalculusI,11,10,Dropped
Spring2020,MATH-UA121,CalculusI,11,66,Enrolled
Spring2020,MATH-UA121,CalculusI,16,21,Dropped
Spring2020,MATH-UA121,CalculusI,16,84,Enrolled
Spring2020,MATH-UA122,CalculusII,1,11,Dropped
Spring2020,MATH-UA122,CalculusII,1,39,Enrolled
Spring2020,MATH-UA122,CalculusII,2,7,Dropped
Spring2020,MATH-UA122,CalculusII,2,19,Enrolled
Spring2020,MATH-UA122,CalculusII,3,11,Dropped
Spring2020,MATH-UA122,CalculusII,3,31,Enrolled
Spring2020,MATH-UA122,CalculusII,4,12,Dropped
Spring2020,MATH-UA122,CalculusII,4,29,Enrolled
Spring2020,MATH-UA122,CalculusII,5,13,Dropped
Spring2020,MATH-UA122,CalculusII,5,29,Enrolled
Spring2020,MATH-UA122,CalculusII,6,12,Dropped
Spring2020,MATH-UA122,CalculusII,6,37,Enrolled
Spring2020,MATH-UA122,CalculusII,7,8,Dropped
Spring2020,MATH-UA122,CalculusII,7,20,Enrolled
Spring2020,MATH-UA123,CalculusIII,1,12,Dropped
Spring2020,MATH-UA123,CalculusIII,1,36,Enrolled
Spring2020,MATH-UA123,CalculusIII,2,7,Dropped
Spring2020,MATH-UA123,CalculusIII,2,48,Enrolled
Spring2020,MATH-UA123,CalculusIII,3,7,Dropped
Spring2020,MATH-UA123,CalculusIII,3,42,Enrolled
Spring2020,MATH-UA123,CalculusIII,4,12,Dropped
Spring2020,MATH-UA123,CalculusIII,4,35,Enrolled
Spring2020,MATH-UA123,CalculusIII,5,10,Dropped
Spring2020,MATH-UA123,CalculusIII,5,35,Enrolled
Spring2020,MATH-UA129,HonorsCalculusIII,1,12,Enrolled
Spring2020,MATH-UA140,LinearAlgebra,1,23,Dropped
Spring2020,MATH-UA140,LinearAlgebra,1,42,Enrolled
Spring2020,MATH-UA140,LinearAlgebra,2,16,Dropped
Spring2020,MATH-UA140,LinearAlgebra,2,42,Enrolled
Spring2020,MATH-UA140,LinearAlgebra,3,11,Dropped
Spring2020,MATH-UA140,LinearAlgebra,3,40,Enrolled
Spring2020,MATH-UA140,LinearAlgebra,4,19,Dropped
Spring2020,MATH-UA140,LinearAlgebra,4,34,Enrolled
Spring2020,MATH-UA140,LinearAlgebra,5,15,Dropped
Spring2020,MATH-UA140,LinearAlgebra,5,39,Enrolled
Spring2020,MATH-UA140,LinearAlgebra,6,5,Dropped
Spring2020,MATH-UA140,LinearAlgebra,6,37,Enrolled
Spring2020,MATH-UA140,LinearAlgebra,7,6,Dropped
Spring2020,MATH-UA140,LinearAlgebra,7,12,Enrolled
Spring2020,MATH-UA140,LinearAlgebra,8,10,Dropped
