Term,Course,CourseTitle,ClassSection,DistinctStudentCount,ClassEnrollmentStatus
Summer2020,MATH-UA120,DiscreteMathematics,1,9,Dropped
Summer2020,MATH-UA120,DiscreteMathematics,1,49,Enrolled
Summer2020,MATH-UA120,DiscreteMathematics,2,5,Dropped
Summer2020,MATH-UA120,DiscreteMathematics,2,47,Enrolled
Summer2020,MATH-UA121,CalculusI,1,7,Dropped
Summer2020,MATH-UA121,CalculusI,1,35,Enrolled
Summer2020,MATH-UA121,CalculusI,2,8,Dropped
Summer2020,MATH-UA121,CalculusI,2,34,Enrolled
Summer2020,MATH-UA121,CalculusI,3,3,Dropped
Summer2020,MATH-UA121,CalculusI,3,42,Enrolled
Summer2020,MATH-UA121,CalculusI,60,1,Dropped
Summer2020,MATH-UA121,CalculusI,60,13,Enrolled
Summer2020,MATH-UA122,CalculusII,1,4,Dropped
Summer2020,MATH-UA122,CalculusII,1,30,Enrolled
Summer2020,MATH-UA122,CalculusII,2,6,Dropped
Summer2020,MATH-UA122,CalculusII,2,31,Enrolled
Summer2020,MATH-UA123,CalculusIII,1,5,Dropped
Summer2020,MATH-UA123,CalculusIII,1,34,Enrolled
Summer2020,MATH-UA140,LinearAlgebra,1,7,Dropped
Summer2020,MATH-UA140,LinearAlgebra,1,21,Enrolled
Summer2020,MATH-UA140,LinearAlgebra,2,13,Dropped
Summer2020,MATH-UA140,LinearAlgebra,2,30,Enrolled
Summer2020,MATH-UA140,LinearAlgebra,60,2,Dropped
Summer2020,MATH-UA140,LinearAlgebra,60,6,Enrolled
Summer2020,MATH-UA211,MathematicsforEconomicsI,1,4,Dropped
Summer2020,MATH-UA211,MathematicsforEconomicsI,1,62,Enrolled
Summer2020,MATH-UA212,MathematicsforEconomicsII,1,9,Dropped
Summer2020,MATH-UA212,MathematicsforEconomicsII,1,27,Enrolled
Summer2020,MATH-UA212,MathematicsforEconomicsII,2,2,Dropped
Summer2020,MATH-UA212,MathematicsforEconomicsII,2,40,Enrolled
Summer2020,MATH-UA233,TheoryofProbability,1,13,Dropped
Summer2020,MATH-UA233,TheoryofProbability,1,27,Enrolled
Summer2020,MATH-UA233,TheoryofProbability,2,2,Dropped
Summer2020,MATH-UA233,TheoryofProbability,2,39,Enrolled
Summer2020,MATH-UA252,NumericalAnalysis,1,7,Dropped
Summer2020,MATH-UA252,NumericalAnalysis,1,25,Enrolled
Summer2020,MATH-UA262,OrdinaryDiffEquations,1,1,Dropped
Summer2020,MATH-UA262,OrdinaryDiffEquations,1,21,Enrolled
Summer2020,MATH-UA9,AlgebraandCalculus,1,7,Dropped
Summer2020,MATH-UA9,AlgebraandCalculus,1,26,Enrolled
Summer2020,MATH-UA9,AlgebraandCalculus,2,3,Dropped
Summer2020,MATH-UA9,AlgebraandCalculus,2,27,Enrolled
Summer2020,MATH-UA9,AlgebraandCalculus,60,2,Dropped
Summer2020,MATH-UA9,AlgebraandCalculus,60,9,Enrolled
Summer2020,MATH-UA9140,LinearAlgebra,1,2,Dropped
Summer2020,MATH-UA9140,LinearAlgebra,1,4,Enrolled
