Course,CourseTitle,Section,DistinctStudentCount,ClassEnrollmentStatus,EnrollmentCap,WatilistCap
MATH-UA 120,Discrete Mathematics,1,7,Dropped,0,
MATH-UA 120,Discrete Mathematics,2,12,Dropped,0,
MATH-UA 120,Discrete Mathematics,3,6,Dropped,0,
MATH-UA 120,Discrete Mathematics,4,10,Dropped,0,
MATH-UA 120,Discrete Mathematics,5,5,Dropped,0,
MATH-UA 120,Discrete Mathematics,6,6,Dropped,0,
MATH-UA 121,Calculus I,1,20,Dropped,0,
MATH-UA 121,Calculus I,6,13,Dropped,0,
MATH-UA 121,Calculus I,11,12,Dropped,0,
MATH-UA 121,Calculus I,16,3,Dropped,0,
MATH-UA 122,Calculus II,1,9,Dropped,0,
MATH-UA 122,Calculus II,2,3,Dropped,0,
MATH-UA 122,Calculus II,3,6,Dropped,0,
MATH-UA 122,Calculus II,4,3,Dropped,0,
MATH-UA 122,Calculus II,5,6,Dropped,0,
MATH-UA 122,Calculus II,6,8,Dropped,0,
MATH-UA 122,Calculus II,7,8,Dropped,0,
MATH-UA 123,Calculus III,3,3,Dropped,0,
MATH-UA 123,Calculus III,4,4,Dropped,0,
MATH-UA 123,Calculus III,5,1,Dropped,0,
MATH-UA 123,Calculus III,6,4,Dropped,0,
MATH-UA 140,Linear Algebra,1,5,Dropped,0,
MATH-UA 140,Linear Algebra,2,24,Dropped,0,
MATH-UA 140,Linear Algebra,3,8,Dropped,0,
MATH-UA 140,Linear Algebra,4,15,Dropped,0,
MATH-UA 140,Linear Algebra,5,4,Dropped,0,
MATH-UA 140,Linear Algebra,6,8,Dropped,0,
MATH-UA 140,Linear Algebra,7,10,Dropped,0,
MATH-UA 144,Introduction to Computer Simulation,1,2,Dropped,40,999
MATH-UA 211,Mathematics for Economics I,6,18,Dropped,0,
MATH-UA 211,Mathematics for Economics I,11,16,Dropped,0,
MATH-UA 212,Mathematics for Economics II,1,12,Dropped,0,
MATH-UA 212,Mathematics for Economics II,6,10,Dropped,0,
MATH-UA 212,Mathematics for Economics II,11,10,Dropped,0,
MATH-UA 213,Mathematics for Economics III,1,8,Dropped,0,
MATH-UA 224,Vector Analysis,1,4,Dropped,0,
MATH-UA 228,Fundamental Dynamics of Earth's Atmosphere and Climate,1,2,Dropped,30,20
MATH-UA 230,Introduction to Fluid Dynamics,1,5,Dropped,30,10
MATH-UA 233,Theory of Probability,1,8,Dropped,0,
MATH-UA 233,Theory of Probability,3,7,Dropped,0,
MATH-UA 234,Mathematical Statistics,1,11,Dropped,0,
MATH-UA 235,Probability & Statistics,1,14,Dropped,0,
MATH-UA 240,Combinatorics,1,9,Dropped,0,
MATH-UA 250,Mathematics of Finance,1,8,Dropped,0,
MATH-UA 251,Intro to Math Modeling,1,19,Dropped,0,
MATH-UA 252,Numerical Analysis,1,11,Dropped,0,
MATH-UA 252,Numerical Analysis,3,13,Dropped,0,
MATH-UA 252,Numerical Analysis,5,4,Dropped,0,
MATH-UA 256,Computers in Medicine & Biology,1,1,Dropped,15,10
MATH-UA 262,Ordinary Diff Equations,1,11,Dropped,0,
MATH-UA 262,Ordinary Diff Equations,3,7,Dropped,0,
MATH-UA 263,Partial Diff Equations,1,5,Dropped,0,
MATH-UA 264,Chaos & Dynamical Systems,1,7,Dropped,0,
MATH-UA 282,Functions of a Complex Variable,1,13,Dropped,0,
MATH-UA 325,Analysis,1,8,Dropped,0,
MATH-UA 325,Analysis,3,8,Dropped,0,
MATH-UA 325,Analysis,5,8,Dropped,0,
MATH-UA 329,Honors Analysis II,1,2,Dropped,0,
MATH-UA 343,Algebra,1,4,Dropped,0,
MATH-UA 343,Algebra,3,7,Dropped,0,
MATH-UA 349,Honors Algebra II,1,1,Dropped,0,
MATH-UA 375,Topology,1,6,Dropped,0,
MATH-UA 394,Senior Honors II,1,4,Dropped,0,
MATH-UA 9,Algebra and Calculus,1,27,Dropped,0,
