Course,CourseTitle,Section,DistinctStudentCount,ClassEnrollmentStatus,EnrollmentCap,WaitlistCap
MATH-UA120,DiscreteMathematics,1,14,Dropped,40,10
MATH-UA120,DiscreteMathematics,2,26,Dropped,35,10
MATH-UA120,DiscreteMathematics,3,13,Dropped,37,10
MATH-UA120,DiscreteMathematics,4,8,Dropped,45,10
MATH-UA120,DiscreteMathematics,5,12,Dropped,37,10
MATH-UA120,DiscreteMathematics,6,15,Dropped,40,10
MATH-UA120,DiscreteMathematics,7,17,Dropped,40,10
MATH-UA120,DiscreteMathematics,8,13,Dropped,44,10
MATH-UA121,CalculusI,1,36,Dropped,138,10
MATH-UA121,CalculusI,6,24,Dropped,138,10
MATH-UA121,CalculusI,11,10,Dropped,70,10
MATH-UA121,CalculusI,16,21,Dropped,128,10
MATH-UA122,CalculusII,1,11,Dropped,40,10
MATH-UA122,CalculusII,2,7,Dropped,35,10
MATH-UA122,CalculusII,3,11,Dropped,35,10
MATH-UA122,CalculusII,4,12,Dropped,40,10
MATH-UA122,CalculusII,5,13,Dropped,35,10
MATH-UA122,CalculusII,6,12,Dropped,37,10
MATH-UA122,CalculusII,7,8,Dropped,35,10
MATH-UA123,CalculusIII,1,12,Dropped,40,10
MATH-UA123,CalculusIII,2,7,Dropped,48,10
MATH-UA123,CalculusIII,3,7,Dropped,42,10
MATH-UA123,CalculusIII,4,12,Dropped,36,10
MATH-UA123,CalculusIII,5,10,Dropped,36,10
MATH-UA129,HonorsCalculusIII,1,0,Dropped,30,10
MATH-UA140,LinearAlgebra,1,23,Dropped,42,11
MATH-UA140,LinearAlgebra,2,16,Dropped,42,10
MATH-UA140,LinearAlgebra,3,11,Dropped,43,10
MATH-UA140,LinearAlgebra,4,19,Dropped,35,11
MATH-UA140,LinearAlgebra,5,15,Dropped,38,11
MATH-UA140,LinearAlgebra,6,5,Dropped,37,10
MATH-UA140,LinearAlgebra,7,6,Dropped,10,5
MATH-UA140,LinearAlgebra,8,10,Dropped,40,10
MATH-UA140,LinearAlgebra,9,17,Dropped,45,10
MATH-UA144,IntroductiontoComputerSimulation,1,7,Dropped,30,10
MATH-UA148,HonorsLinearAlgebra,1,24,Dropped,35,10
MATH-UA211,MathematicsforEconomicsI,1,25,Dropped,162,20
MATH-UA211,MathematicsforEconomicsI,6,21,Dropped,159,20
MATH-UA212,MathematicsforEconomicsII,1,13,Dropped,184,20
MATH-UA212,MathematicsforEconomicsII,6,9,Dropped,160,20
MATH-UA212,MathematicsforEconomicsII,11,13,Dropped,138,20
MATH-UA213,MathematicsforEconomicsIII,1,11,Dropped,70,10
MATH-UA224,VectorAnalysis,1,4,Dropped,35,10
MATH-UA228,FundamentalDynamicsofEarth'sAtmosphereandClimate,1,5,Dropped,30,10
MATH-UA230,IntroductiontoFluidDynamics,1,12,Dropped,13,10
MATH-UA233,TheoryofProbability,1,8,Dropped,35,10
MATH-UA233,TheoryofProbability,3,11,Dropped,45,21
MATH-UA234,MathematicalStatistics,1,11,Dropped,40,10
MATH-UA234,MathematicalStatistics,3,5,Dropped,40,11
MATH-UA235,Probability&Statistics,1,17,Dropped,40,20
MATH-UA238,HonorsTheoryofProbability,1,5,Dropped,35,10
MATH-UA240,Combinatorics,1,9,Dropped,35,11
MATH-UA250,MathematicsofFinance,1,17,Dropped,55,20
MATH-UA251,IntrotoMathModeling,1,16,Dropped,45,10
MATH-UA252,NumericalAnalysis,1,11,Dropped,35,10
MATH-UA252,NumericalAnalysis,3,11,Dropped,35,10
MATH-UA252,NumericalAnalysis,5,9,Dropped,20,20
MATH-UA256,ComputersinMedicine&Biology,1,0,Dropped,10,10
MATH-UA262,OrdinaryDiffEquations,1,19,Dropped,54,20
MATH-UA262,OrdinaryDiffEquations,3,14,Dropped,53,20
MATH-UA262,OrdinaryDiffEquations,5,4,Dropped,20,10
MATH-UA263,PartialDiffEquations,1,8,Dropped,52,22
MATH-UA264,Chaos&DynamicalSystems,1,17,Dropped,35,10
MATH-UA282,FunctionsofaComplexVariable,1,20,Dropped,53,10
MATH-UA325,Analysis,1,16,Dropped,40,13
MATH-UA325,Analysis,3,18,Dropped,40,13
MATH-UA325,Analysis,5,14,Dropped,40,12
MATH-UA328,HonorsAnalysisI,1,5,Dropped,35,10
MATH-UA329,HonorsAnalysisII,1,4,Dropped,35,10
MATH-UA343,Algebra,1,5,Dropped,39,10
MATH-UA343,Algebra,3,10,Dropped,38,12
MATH-UA349,HonorsAlgebraII,1,2,Dropped,35,10
MATH-UA375,Topology,1,3,Dropped,20,10
MATH-UA377,DifferentialGeometry,1,10,Dropped,35,10
MATH-UA396,SpecialTopicsII,1,1,Dropped,12,10
MATH-UA398,HonorsIV,1,12,Dropped,20,10
MATH-UA9,AlgebraandCalculus,1,25,Dropped,138,20
