Subject/Number,Course Title,Class Section,Distinct Student Count,Class Enrollment Status,Enrollment Cap,Watilist Cap
MATH-UA 120,Discrete Mathematics,1,13,Dropped,50,10
MATH-UA 120,Discrete Mathematics,2,16,Dropped,50,10
MATH-UA 120,Discrete Mathematics,3,14,Dropped,50,10
MATH-UA 120,Discrete Mathematics,4,14,Dropped,50,10
MATH-UA 120,Discrete Mathematics,5,5,Dropped,50,10
MATH-UA 120,Discrete Mathematics,6,15,Dropped,50,10
MATH-UA 120,Discrete Mathematics,7,7,Dropped,50,10
MATH-UA 120,Discrete Mathematics,8,13,Dropped,50,10
MATH-UA 121,Calculus I,1,25,Dropped,160,20
MATH-UA 121,Calculus I,6,20,Dropped,160,20
MATH-UA 121,Calculus I,11,15,Dropped,160,20
MATH-UA 121,Calculus I,16,9,Dropped,160,20
MATH-UA 121,Calculus I,21,20,Dropped,160,20
MATH-UA 121,Calculus I,26,6,Dropped,160,10
MATH-UA 121,Calculus I,31,8,Dropped,74,20
MATH-UA 121,Calculus I,36,8,Dropped,128,20
MATH-UA 121,Calculus I,41,13,Dropped,160,20
MATH-UA 121,Calculus I,46,4,Dropped,70,10
MATH-UA 122,Calculus II,1,8,Dropped,50,10
MATH-UA 122,Calculus II,2,20,Dropped,50,10
MATH-UA 122,Calculus II,3,10,Dropped,50,10
MATH-UA 122,Calculus II,4,2,Dropped,50,11
MATH-UA 122,Calculus II,5,10,Dropped,50,10
MATH-UA 122,Calculus II,6,10,Dropped,50,10
MATH-UA 122,Calculus II,7,10,Dropped,50,10
MATH-UA 122,Calculus II,8,11,Dropped,50,10
MATH-UA 123,Calculus III,1,6,Dropped,50,11
MATH-UA 123,Calculus III,2,7,Dropped,50,10
MATH-UA 123,Calculus III,3,7,Dropped,50,10
MATH-UA 123,Calculus III,4,15,Dropped,45,10
MATH-UA 123,Calculus III,5,2,Dropped,56,30
MATH-UA 123,Calculus III,6,11,Dropped,40,10
MATH-UA 123,Calculus III,7,8,Dropped,40,10
MATH-UA 129,Honors Calculus III,1,4,Dropped,24,10
MATH-UA 140,Linear Algebra,1,22,Dropped,161,20
MATH-UA 140,Linear Algebra,6,16,Dropped,120,20
MATH-UA 140,Linear Algebra,11,34,Dropped,145,20
MATH-UA 140,Linear Algebra,16,32,Dropped,122,10
MATH-UA 140,Linear Algebra,21,16,Dropped,45,10
MATH-UA 148,Honors Linear Algebra,1,7,Dropped,33,15
MATH-UA 211,Mathematics for Economics I,1,30,Dropped,170,25
MATH-UA 211,Mathematics for Economics I,6,30,Dropped,170,20
MATH-UA 211,Mathematics for Economics I,11,34,Dropped,180,30
MATH-UA 211,Mathematics for Economics I,16,22,Dropped,180,30
MATH-UA 212,Mathematics for Economics II,1,33,Dropped,160,20
MATH-UA 212,Mathematics for Economics II,6,26,Dropped,160,20
MATH-UA 213,Mathematics for Economics III,1,10,Dropped,140,20
MATH-UA 228,Fundamental Dynamics of Earth's Atmosphere and Climate,1,7,Dropped,25,10
MATH-UA 233,Theory of Probability,1,17,Dropped,63,20
MATH-UA 233,Theory of Probability,1,6,Dropped,70,0
MATH-UA 233,Theory of Probability,3,14,Dropped,40,30
MATH-UA 233,Theory of Probability,5,5,Dropped,17,20
MATH-UA 234,Mathematical Statistics,1,16,Dropped,70,20
MATH-UA 240,Combinatorics,1,18,Dropped,40,20
MATH-UA 248,Theory of Numbers,1,13,Dropped,39,20
MATH-UA 250,Mathematics of Finance,1,15,Dropped,45,30
MATH-UA 250,Mathematics of Finance,3,6,Dropped,45,20
MATH-UA 251,Intro to Math Modeling,1,18,Dropped,55,30
MATH-UA 251,Intro to Math Modeling,3,10,Dropped,55,20
MATH-UA 251,Intro to Math Modeling,5,9,Dropped,45,10
MATH-UA 252,Numerical Analysis,1,21,Dropped,44,30
MATH-UA 252,Numerical Analysis,3,10,Dropped,35,30
MATH-UA 255,Mathematics and Biology,1,1,Dropped,15,10
MATH-UA 262,Ordinary Diff Equations,1,14,Dropped,39,30
MATH-UA 262,Ordinary Diff Equations,3,11,Dropped,35,20
MATH-UA 262,Ordinary Diff Equations,5,8,Dropped,19,20
MATH-UA 263,Partial Diff Equations,1,11,Dropped,40,10
MATH-UA 325,Analysis,1,1,Dropped,70,17
MATH-UA 325,Analysis,1,17,Dropped,70,0
MATH-UA 325,Analysis,4,12,Dropped,70,10
MATH-UA 325,Analysis,7,6,Dropped,60,20
MATH-UA 328,Honors Analysis I,1,10,Dropped,28,10
MATH-UA 343,Algebra,1,10,Dropped,35,10
MATH-UA 343,Algebra,1,2,Dropped,70,0
MATH-UA 343,Algebra,3,8,Dropped,38,10
MATH-UA 343,Algebra,5,12,Dropped,38,10
MATH-UA 348,Honors Algebra I,1,5,Dropped,36,10
MATH-UA 393,Honors I,1,4,Dropped,22,10
MATH-UA 395,Special Topics,1,2,Dropped,35,10
MATH-UA 9,Algebra and Calculus,1,14,Dropped,160,15
MATH-UA 9,Algebra and Calculus,6,18,Dropped,160,20
MATH-UA 9,Algebra and Calculus,11,15,Dropped,128,10
