Subject/Number,Course Title,Class Section,Distinct Student Count,Class Enrollment Status,Enrollment Cap,Watilist Cap
MATH-UA 120,Discrete Mathematics,1,14,Dropped,40,10
MATH-UA 120,Discrete Mathematics,2,26,Dropped,35,10
MATH-UA 120,Discrete Mathematics,3,13,Dropped,37,10
MATH-UA 120,Discrete Mathematics,4,8,Dropped,45,10
MATH-UA 120,Discrete Mathematics,5,12,Dropped,37,10
MATH-UA 120,Discrete Mathematics,6,15,Dropped,40,10
MATH-UA 120,Discrete Mathematics,7,17,Dropped,40,10
MATH-UA 120,Discrete Mathematics,8,13,Dropped,44,10
MATH-UA 121,Calculus I,1,36,Dropped,138,10
MATH-UA 121,Calculus I,6,24,Dropped,138,10
MATH-UA 121,Calculus I,11,10,Dropped,70,10
MATH-UA 121,Calculus I,16,21,Dropped,128,10
MATH-UA 122,Calculus II,1,11,Dropped,40,10
MATH-UA 122,Calculus II,2,7,Dropped,35,10
MATH-UA 122,Calculus II,3,11,Dropped,35,10
MATH-UA 122,Calculus II,4,12,Dropped,40,10
MATH-UA 122,Calculus II,5,13,Dropped,35,10
MATH-UA 122,Calculus II,6,12,Dropped,37,10
MATH-UA 122,Calculus II,7,8,Dropped,35,10
MATH-UA 123,Calculus III,1,12,Dropped,40,10
MATH-UA 123,Calculus III,2,7,Dropped,48,10
MATH-UA 123,Calculus III,3,7,Dropped,42,10
MATH-UA 123,Calculus III,4,12,Dropped,36,10
MATH-UA 123,Calculus III,5,10,Dropped,36,10
MATH-UA 129,Honors Calculus III,1,0,Dropped,30,10
MATH-UA 140,Linear Algebra,1,23,Dropped,42,11
MATH-UA 140,Linear Algebra,2,16,Dropped,42,10
MATH-UA 140,Linear Algebra,3,11,Dropped,43,10
MATH-UA 140,Linear Algebra,4,19,Dropped,35,11
MATH-UA 140,Linear Algebra,5,15,Dropped,38,11
MATH-UA 140,Linear Algebra,6,5,Dropped,37,10
MATH-UA 140,Linear Algebra,7,6,Dropped,10,5
MATH-UA 140,Linear Algebra,8,10,Dropped,40,10
MATH-UA 140,Linear Algebra,9,17,Dropped,45,10
MATH-UA 144,Introduction to Computer Simulation,1,7,Dropped,30,10
MATH-UA 148,Honors Linear Algebra,1,24,Dropped,35,10
MATH-UA 211,Mathematics for Economics I,1,25,Dropped,162,20
MATH-UA 211,Mathematics for Economics I,6,21,Dropped,159,20
MATH-UA 212,Mathematics for Economics II,1,13,Dropped,184,20
MATH-UA 212,Mathematics for Economics II,6,9,Dropped,160,20
MATH-UA 212,Mathematics for Economics II,11,13,Dropped,138,20
MATH-UA 213,Mathematics for Economics III,1,11,Dropped,70,10
MATH-UA 224,Vector Analysis,1,4,Dropped,35,10
MATH-UA 228,Fundamental Dynamics of Earth's Atmosphere and Climate,1,5,Dropped,30,10
MATH-UA 230,Introduction to Fluid Dynamics,1,12,Dropped,13,10
MATH-UA 233,Theory of Probability,1,8,Dropped,35,10
MATH-UA 233,Theory of Probability,3,11,Dropped,45,21
MATH-UA 234,Mathematical Statistics,1,11,Dropped,40,10
MATH-UA 234,Mathematical Statistics,3,5,Dropped,40,11
MATH-UA 235,Probability & Statistics,1,17,Dropped,40,20
MATH-UA 238,Honors Theory of Probability,1,5,Dropped,35,10
MATH-UA 240,Combinatorics,1,9,Dropped,35,11
MATH-UA 250,Mathematics of Finance,1,17,Dropped,55,20
MATH-UA 251,Intro to Math Modeling,1,16,Dropped,45,10
MATH-UA 252,Numerical Analysis,1,11,Dropped,35,10
MATH-UA 252,Numerical Analysis,3,11,Dropped,35,10
MATH-UA 252,Numerical Analysis,5,9,Dropped,20,20
MATH-UA 256,ComputersinMedicine&Biology,1,0,Dropped,10,10
MATH-UA 262,Ordinary Diff Equations,1,19,Dropped,54,20
MATH-UA 262,Ordinary Diff Equations,3,14,Dropped,53,20
MATH-UA 262,Ordinary Diff Equations,5,4,Dropped,20,10
MATH-UA 263,Partial Diff Equations,1,8,Dropped,52,22
MATH-UA 264,Chaos & Dynamical Systems,1,17,Dropped,35,10
MATH-UA 282,Functions of a Complex Variable,1,20,Dropped,53,10
MATH-UA 325,Analysis,1,16,Dropped,40,13
MATH-UA 325,Analysis,3,18,Dropped,40,13
MATH-UA 325,Analysis,5,14,Dropped,40,12
MATH-UA 328,Honors Analysis I,1,5,Dropped,35,10
MATH-UA 329,Honors Analysis II,1,4,Dropped,35,10
MATH-UA 343,Algebra,1,5,Dropped,39,10
MATH-UA 343,Algebra,3,10,Dropped,38,12
MATH-UA 349,Honors Algebra II,1,2,Dropped,35,10
MATH-UA 375,Topology,1,3,Dropped,20,10
MATH-UA 377,Differential Geometry,1,10,Dropped,35,10
MATH-UA 396,Special Topics II,1,1,Dropped,12,10
MATH-UA 398,Honors IV,1,12,Dropped,20,10
MATH-UA 9,Algebra and Calculus,1,25,Dropped,138,20
