class_num,semester,waitlist_pos
66-781-4276,2008,9
19-947-1954,1993,7
20-354-9905,1998,75
57-013-9396,1994,34
02-589-2881,1995,56
09-262-5679,2011,687
20-215-3434,1995,9987
04-795-4704,2006,076
50-877-1420,2006,01
69-815-9871,1988,588
60-104-1437,2003,1311
38-427-4711,2007,2
45-407-1981,1986,296
55-801-7229,1996,0
57-603-7754,1998,90524
04-381-1787,2005,8
96-300-8276,1998,0
67-939-7422,1988,52
75-768-9868,2011,32
39-572-8705,1991,20
70-292-3062,1991,8
95-555-2923,2006,9621
12-296-0800,2002,3
48-533-4254,1998,9
40-983-8071,2012,881
75-579-4815,2011,4365
39-566-2232,1965,88023
84-350-9560,1996,421
61-417-0645,1994,79160
32-843-6076,1993,6
39-524-1997,1985,25
46-763-0065,2009,4279
78-096-8201,2003,4
87-950-7486,1994,80
64-166-6773,2007,823
20-569-1789,2011,160
57-536-8803,1994,63324
75-706-0108,2009,95249
43-585-1584,2010,553
41-199-7885,2007,33
30-876-3021,2011,8783
89-142-8734,1988,52847
22-447-7680,2005,9
53-251-3357,1995,11
90-371-8505,2007,0
48-319-6333,2003,9
48-256-8245,1993,9
94-563-1893,2001,2
22-151-5779,2004,3
48-365-2054,1993,939
80-266-4712,1987,4
42-634-9163,1998,42240
03-001-1892,1996,73851
52-880-6917,2003,622
94-681-2631,2009,849
46-382-2123,1995,75208
40-488-2757,1993,56660
05-406-4997,2004,4
15-522-3394,2005,39795
21-604-5224,2011,2918
32-600-1467,1994,45753
10-070-5555,2010,7
50-143-7089,2003,1
52-657-0797,2000,4988
66-499-8740,2002,71105
85-466-8509,2007,354
39-380-3265,1992,9
18-979-7556,1999,1438
30-049-1529,1991,61
42-077-8707,1986,1
01-694-9145,2012,7652
01-276-6091,1994,30
57-107-0844,2011,47532
22-568-7593,1988,0
62-412-2257,1991,21
71-405-7257,1995,87693
10-319-7470,1994,9518
36-755-3747,1991,0831
28-898-6577,2003,5600
14-644-2745,1999,9
75-268-1108,1988,038
32-585-5156,2000,2441
55-557-7151,1995,340
55-415-3154,2001,67960
00-044-8107,2011,06457
87-053-3311,2012,67232
08-012-9762,2001,878
61-845-5078,1992,2077
67-939-3629,2009,955
85-750-5803,2005,56
79-650-8873,1995,44
38-371-2534,1997,55
06-025-7298,1993,17197
82-456-6978,2011,10
44-814-9735,1998,65
56-940-1346,2007,14
20-763-8154,2001,30144
88-320-6028,2010,55
63-176-6288,1994,18562
65-887-0096,2002,717
85-322-1121,2008,69697
83-775-7769,2001,27717
03-709-4843,1986,41
23-550-1374,2002,040
14-156-4816,1992,8
70-975-3405,1998,544
49-133-0794,1998,4
04-324-7402,2001,33733
24-460-0108,1996,16
12-163-2169,2002,46433
05-849-0459,1993,5047
44-770-1694,1997,20
55-688-3602,1999,26557
39-996-6763,2006,75635
92-544-4673,1964,460
54-826-8902,1993,7059
76-650-0406,1991,35
12-438-8488,2005,74670
40-657-3826,1992,56424
55-378-7239,1998,427
81-999-0581,2012,3184
48-095-0206,2000,52234
65-171-2427,2008,2600
38-656-6927,2009,7
95-808-4683,1994,023
28-226-4719,2012,759
81-141-3868,2002,318
08-997-1599,2002,714
41-845-5438,2011,2
17-318-7836,1991,4918
73-698-0054,2009,90
50-554-2764,2004,243
60-338-6925,1995,07227
62-482-7013,2003,087
39-802-3045,2006,22347
69-648-1149,2011,636
96-492-7779,1998,5
46-504-2217,1998,28
95-745-1182,2012,55
88-937-7741,1984,6938
94-812-2935,2011,7598
40-172-7430,2012,76869
53-418-2268,2004,516
44-668-5961,2001,6
27-596-6525,2001,060
47-957-3261,1990,7724
10-551-6059,2004,8
83-245-5220,1967,42
81-412-9955,2003,8642
26-919-9880,2004,2949
79-465-2587,1995,2361
10-486-2582,1954,6022
37-777-3205,2005,24224
46-878-0484,1987,30085
99-293-8041,1999,87
69-808-8016,2003,2
66-120-8116,2003,27428
73-623-2545,1992,8
36-874-9261,2001,47
42-029-5338,2011,44791
04-969-0641,2004,85
56-494-3799,2010,80595
37-462-2736,2000,151
45-144-4987,2003,44
90-583-1051,1996,517
94-446-4318,1985,70211
64-188-9606,1998,8
53-444-3746,2007,95991
87-746-1602,1998,1
78-650-8161,2010,62
62-275-9184,2006,3
98-112-2166,2012,661
65-171-5801,1993,4
14-740-8538,1989,689
69-878-4669,2005,5629
29-704-0480,2005,64
70-948-7001,1998,1786
52-648-0861,1992,52
12-100-3311,2010,688
28-074-7156,1992,59
44-551-0666,2006,88
15-532-7400,1995,1
90-816-7185,1997,3818
70-020-6390,2006,4
27-610-1835,2011,544
90-717-8698,2000,125
79-243-4869,2003,39052
85-911-9713,2009,569
54-575-3228,2007,370
65-337-6320,2010,08
70-730-8073,2011,4361
41-132-2606,1994,09891
41-812-6802,1989,62
84-954-5907,1996,741
06-907-5420,2008,284
01-679-5521,2006,15
86-266-5944,2008,78910
72-400-6547,2007,6
39-697-7989,2006,96
38-266-7935,1986,077
00-130-7587,1996,21
89-471-2903,2002,037
16-961-4174,2011,08
30-250-5588,1966,8
67-553-2427,1999,25
57-131-5679,1993,8735
34-144-3141,1988,1160
86-714-6857,1988,93
02-703-0371,2006,61
60-275-4200,1994,77866
73-058-9292,1996,8717
35-431-6725,1993,388
47-266-4476,2004,9290
35-443-3469,2000,1
50-378-0630,2012,54457
91-121-7283,1986,42373
26-113-5491,2009,98
45-255-8309,2006,79518
61-452-3090,2004,4994
95-360-9124,2004,303
37-150-0375,1993,44
21-568-7010,1999,80684
39-131-8483,1989,993
99-178-8136,1992,33
02-145-8309,1987,8698
91-616-3620,1994,087
91-490-8498,1998,9
36-505-7075,2006,1
77-077-6241,1993,33661
61-179-3840,2006,77368
53-615-4311,2011,85548
65-684-1436,1984,260
78-377-3954,1996,42
91-165-4923,1996,30
64-893-4018,1997,1
44-849-7770,1999,20
09-549-6519,1997,62
22-782-6698,2008,68
55-356-6627,2012,15
58-598-2996,1985,8850
12-794-0045,1994,8
56-790-1803,2000,5133
40-619-2116,2012,2
85-558-9281,2007,337
60-944-8742,1992,56
20-158-6127,2011,6031
72-334-1452,2012,66818
47-448-4196,2013,1571
47-924-6339,1985,2295
78-108-6636,2003,40
85-044-5604,1987,267
65-235-5105,1999,4
44-015-6885,1987,170
93-362-0523,2009,080
71-854-0665,2003,43759
88-949-7106,2002,51
21-696-3044,2008,89146
66-063-7885,2008,02
81-355-8587,1997,227
49-052-0451,2006,3566
26-553-6673,2004,21015
78-482-7253,1996,17
35-948-2984,2001,267
94-748-9468,2011,434
37-673-4048,2005,439
52-392-8131,2008,30413
51-551-3503,2009,673
31-509-8585,2008,056
73-974-2416,2006,1
59-807-5247,1979,40133
52-694-8817,2009,730
49-537-6562,2009,07
57-833-0906,1986,9
74-925-4083,2005,26
79-041-5960,2005,94697
80-376-4236,1998,70
50-829-0138,2009,666
41-483-2999,2010,94378
62-883-5481,1996,25146
41-529-4777,1993,22
01-461-7036,2012,2384
34-027-7740,1992,3
26-067-1055,1998,86659
13-460-6365,2007,3653
68-244-9649,1998,24150
74-723-4455,2010,725
61-381-2091,1990,72446
23-169-0941,2003,310
52-160-0279,1973,0
65-432-1192,2000,7
05-841-9959,1995,0528
70-396-2683,2007,746
15-513-6046,2010,486
55-117-1629,1992,426
48-219-2365,1998,724
95-929-8966,1996,54
89-290-9062,2011,6731
69-549-6636,1992,82
38-769-5642,2009,781
81-959-7933,2006,69
48-669-9104,1995,8
24-215-3874,1989,73375
88-596-5585,2010,48905
96-152-2364,2004,581
34-960-7784,1994,55
32-824-5933,2001,05
97-916-6884,2012,82
31-456-5638,1998,0445
38-263-3126,2004,4
54-381-4029,2008,4909
75-460-3092,1991,3008
47-010-7126,2004,58
06-288-4762,2009,43
42-973-5804,2007,0
46-945-3030,2012,926
93-553-5042,1998,341
71-699-3999,2008,2
88-782-4786,1994,0883
10-241-0621,1999,190
31-896-1349,2000,41
06-560-3762,2009,49074
30-818-5689,1987,7709
00-398-3780,2007,94002
97-630-1872,1993,7198
35-563-0344,2010,9901
65-838-1793,1995,82
23-321-2550,1994,17
84-693-5757,2006,4
15-605-8356,2005,0077
13-445-7537,2010,2
23-504-7222,2003,546
98-383-3238,2006,331
16-644-3635,2004,530
93-014-5411,2005,56
70-702-3130,1992,86
26-352-4996,1995,21
53-768-7620,2007,8036
23-057-6065,2009,8106
33-750-8411,1993,07
49-644-3485,2009,891
30-900-8725,1995,2512
51-646-1066,2006,5
24-152-4928,2000,5
51-811-7999,2002,597
17-566-2512,2011,6504
34-596-4958,1995,87707
00-518-3761,2008,5
56-698-2666,1998,8
27-144-5817,2009,96
97-782-1709,1995,041
43-058-1775,2010,0
78-702-8493,2011,19
85-757-0506,1990,31766
15-231-1019,2011,68132
15-279-7234,1978,37025
52-471-9298,2007,79
61-379-9770,2001,46
08-273-6795,2004,00
75-932-7562,2005,3408
66-782-3674,2008,489
02-310-6211,2007,01
93-518-8693,1999,4255
31-403-7608,1992,32
21-975-8717,1994,941
72-668-6193,2013,09582
19-968-6750,1999,782
08-021-4240,2011,3937
17-569-9175,1984,147
31-473-7729,1964,337
27-373-4846,2012,46
75-174-1921,1990,6299
73-288-3583,1996,57424
29-776-0421,1998,83090
10-964-4054,1993,4
30-132-8575,1999,4809
32-419-5547,2011,81968
12-585-2729,2007,05830
26-494-2442,2010,18
35-112-2274,2011,0
48-864-7650,1985,523
79-351-6255,2002,08
06-788-8038,2007,88
96-660-4745,2008,8126
45-684-3647,2010,27
32-154-1851,1993,4000
82-980-0952,2006,53
19-398-2455,2009,6
86-543-9853,1997,216
18-138-0889,2010,6396
90-196-2075,1995,74
98-314-7364,2011,92
87-608-3261,2009,37604
25-874-1510,2011,5129
35-891-8672,2003,81
07-724-3942,1993,5
56-601-4175,2001,9
53-562-2603,1996,585
18-020-2965,1992,6169
95-923-0400,1999,85149
62-055-0430,1987,51
12-512-7467,1994,9012
58-612-6655,1999,7993
64-283-7699,2008,025
80-950-8841,1985,2
73-295-6400,2007,1
34-946-2320,2012,5
41-081-1785,2004,920
88-713-0842,1995,392
81-827-3202,1992,6237
32-145-2105,1998,1
04-518-2626,1997,98
23-345-4474,1987,809
25-760-0223,2006,82
20-627-8925,1999,80
12-187-2007,2001,383
33-203-2608,2009,213
82-344-0721,2012,63
49-903-7412,2010,501
33-516-2164,1999,83517
17-352-8519,2006,0355
50-528-7545,1994,46
41-281-2654,2007,13825
09-440-7242,1995,006
32-686-0727,1999,38081
63-867-6741,1999,02
32-372-0998,1999,42
31-946-5470,2012,08
71-678-1294,1997,08
56-570-3180,2006,27
72-478-1330,2003,66
07-274-8851,2003,1
91-045-4414,1987,8262
92-123-0173,1984,9
24-215-6560,2008,4351
43-530-9839,2002,362
04-023-8234,2004,7964
96-288-4021,2007,79771
63-525-8304,1991,9557
12-617-9410,1976,13
01-224-6615,2004,1608
82-565-8895,2009,488
80-416-6185,2012,56740
04-637-0525,2010,6405
23-538-4193,2000,59155
78-558-5475,1999,212
93-746-6942,2010,41035
45-988-3847,1993,01
80-939-6168,2008,42
43-926-0731,2006,23893
83-337-7398,2010,1
47-231-7893,2007,37
99-795-5164,1986,4690
29-182-5735,2009,216
21-116-7385,2002,60330
68-447-2991,1963,05
75-921-7158,2003,459
61-289-7811,2008,2
02-864-2901,2004,1
93-788-2865,2012,90637
72-673-6943,2005,09
04-516-2469,1995,70591
50-527-4869,1998,89937
81-081-6534,1994,003
55-983-5882,2006,646
07-055-1081,2000,472
37-063-9569,2000,584
71-583-0877,2011,535
70-664-2355,2001,8
64-763-7809,1990,82087
23-440-6185,2007,45
62-597-3522,1995,028
41-743-3394,2002,93248
08-795-8202,2003,53
51-081-7087,2002,2
66-274-2901,2001,0324
02-170-9592,2006,243
04-939-2618,2008,7
82-372-2679,1994,30
87-431-3915,2004,1
58-285-3358,2002,36155
86-416-4972,2002,9390
60-284-3158,1996,787
46-679-2217,2009,77
69-537-4715,1993,69167
49-722-0783,1993,44
19-488-1672,2005,00761
66-868-7429,1993,994
74-194-1920,2003,9
98-055-5280,2000,7
11-317-1755,1998,0071
91-248-1302,1998,55575
93-939-5955,1991,9130
76-048-7825,1991,1089
55-568-1800,2004,9
90-713-6957,1990,07
32-999-8818,2006,64509
89-431-5510,2006,20862
55-367-4001,1997,20
89-119-7736,1967,688
62-764-7868,1997,8
60-289-0942,2009,9147
55-527-0944,2000,191
59-401-2440,1997,19
97-369-4457,2000,086
06-741-0812,2006,689
83-757-2167,2004,05
73-089-2324,1999,7
42-166-4449,1994,847
77-861-3810,1985,99432
50-078-1415,1987,5
96-103-8113,2009,41
08-782-4774,1997,70
48-051-0862,1968,40
71-769-1588,2009,15278
44-824-7224,2003,333
96-116-6698,2007,89
76-283-2526,2009,18346
64-574-4675,2003,7345
33-048-5850,2005,97225
77-061-9461,2009,9
39-621-4198,1993,5
49-467-4921,1995,0
05-329-2962,2004,35381
82-357-3083,1994,73
13-891-3079,1998,3
58-692-5389,1995,34
93-606-9276,2012,8526
23-791-3008,1999,6
43-050-8326,1984,0
81-961-4560,1989,64
35-732-9896,2003,4784
15-741-0585,1998,656
41-397-9018,2009,80316
08-167-9162,2010,58706
92-222-2292,1999,0
84-618-8997,2000,2
00-456-9257,1998,492
42-724-6811,2007,2
50-544-7291,1967,1
93-766-0030,1986,3423
59-651-5302,2000,86782
91-354-6213,2009,19707
82-290-9905,2004,106
65-918-7387,1994,1039
28-423-4349,1961,533
57-711-7440,1997,83
72-401-5348,2006,47
23-407-9765,1997,47
90-671-5940,2004,4490
73-860-1447,1987,0010
20-404-0517,1984,957
54-173-6353,2011,4
28-979-1399,2012,23
96-194-4472,2007,61954
96-604-9498,1997,4189
47-069-4989,2005,85
17-539-2390,1991,0059
65-325-1736,1999,195
12-646-8391,1986,7
12-008-4341,2008,1
84-156-5386,1999,6
70-842-1618,1993,182
04-961-9514,1996,1
95-561-5294,1994,00054
61-478-5485,1994,7568
10-506-2019,2006,4970
31-430-0561,1990,64561
01-494-7027,2004,6
74-665-6097,2003,8924
21-078-2832,2001,2
05-509-6250,2007,829
67-073-7026,2008,36
45-821-4172,2004,1005
69-108-8436,2006,82
13-159-4653,2004,3013
45-075-1448,1989,8
69-493-6484,1999,3
96-829-1520,1996,3851
77-033-0291,2000,27131
05-854-8711,1993,1
43-750-7063,2012,0169
71-869-9796,2002,44
00-576-8801,2004,5528
31-358-3208,2006,103
88-530-9379,1992,517
78-672-9067,2000,9
86-790-0340,1995,415
63-935-5255,2009,4712
23-815-6789,2008,4660
33-364-4958,1996,0
81-641-6303,2008,65081
20-712-7281,1998,75
95-535-3014,2000,92
42-284-3067,2004,68484
59-000-6405,2004,1723
59-456-2355,2005,60
44-675-9297,2007,7
11-876-1885,1990,03766
10-699-5680,2008,1102
42-256-4836,1997,194
08-631-0346,2005,30846
48-173-2437,1998,39
02-580-9735,2001,8
41-915-1926,2007,36
85-010-2802,1987,3
41-776-8077,2007,9487
41-107-8167,2013,6674
13-698-2554,2009,0
51-192-0827,2001,2178
11-551-7960,1994,08
12-659-0689,2000,04512
44-463-4269,1966,81894
44-912-1586,2006,3
25-880-5381,1994,95
49-426-5076,1998,687
29-337-9718,1989,5
56-541-0600,1995,07
19-917-5852,2012,42814
70-534-5017,2004,780
81-417-5202,1985,03
69-137-4550,2010,90190
96-442-5531,2008,52
41-812-3901,2000,5
11-814-8344,2008,4
27-403-6575,2009,051
14-727-0139,1993,5980
16-992-4677,2001,5975
46-877-3035,2006,8863
78-245-9378,1991,5141
57-113-2595,1991,8
88-079-7419,2008,5449
06-067-5862,1995,1612
27-559-7516,1995,90805
70-606-0497,2007,8
39-500-9002,2008,28
15-374-1488,2012,74
02-203-6573,1996,0
34-543-0845,2009,427
53-612-2858,2001,28
42-792-0686,1988,4135
93-687-1670,1983,84
95-267-2950,2004,0
44-287-7913,1996,33
88-685-9918,1992,7131
05-016-1710,2007,34
67-757-9932,2011,7
40-396-5971,1993,68397
01-437-2411,2005,188
56-497-3917,2012,435
66-934-3263,1993,7
27-304-1160,2006,071
11-500-7537,2012,146
39-854-8724,2011,9
17-163-1158,2009,352
92-211-1812,2010,0263
14-762-5955,1996,64199
95-075-4302,2003,4
57-456-9541,2010,1
26-291-8464,1990,931
02-210-0409,1990,9776
83-672-1145,1992,269
43-109-6188,1995,645
54-666-4190,1994,9
59-915-7151,2008,80
68-592-0258,1995,727
62-242-9009,2009,28
09-385-7549,2007,35
23-916-1016,1997,15713
01-127-7746,2006,808
15-134-5310,1999,755
89-443-7892,2010,872
57-951-3660,1988,90
66-062-2087,2012,74487
21-909-0643,1993,0970
84-573-2470,1991,521
89-384-5716,1986,91
13-856-8236,2009,4
04-259-1472,2005,79
93-849-7930,2005,64
94-820-1648,2001,77
39-642-7508,2007,2521
94-924-6296,2008,4217
30-516-2785,1997,558
13-878-2019,1989,4110
26-787-1936,2011,42
85-945-1929,2008,414
82-776-6675,2007,826
56-110-7290,1975,27
22-237-1208,2002,7
78-494-9085,2008,17
07-622-7041,1994,89927
81-074-5602,2001,8
58-837-3524,1996,70
01-431-1994,2004,92224
61-287-7585,2004,2107
00-907-1371,1991,7
99-862-7907,1992,209
21-737-4999,2007,77656
90-128-1344,1992,7173
95-570-8720,2010,927
19-806-1051,2008,558
26-319-0115,2009,7
25-821-4862,2010,650
50-096-1043,2003,366
47-973-0763,1992,136
84-571-5156,2001,7
94-155-6993,2003,8191
75-003-5884,1996,22241
84-391-5247,1990,0
72-187-3847,2010,58
10-362-3768,1999,23020
37-293-4154,1991,370
87-254-8499,1979,90877
46-697-3687,2006,998
67-525-9161,1992,89
38-975-0910,1997,164
68-906-6222,2011,226
42-355-5826,1991,096
94-132-0513,2001,09
95-237-2156,2010,484
17-556-1996,2011,8376
74-167-2987,1985,7534
31-169-4990,1976,60452
29-086-2116,2005,094
29-325-0785,1999,177
77-958-6513,2010,6472
66-929-0938,1984,7
19-161-5206,1998,85
88-413-4668,1999,90291
99-773-6646,1995,478
81-108-9906,2006,9
64-922-2311,2008,35
14-750-6541,1994,0
71-283-9007,2010,267
55-118-6662,1992,090
11-697-6596,1990,8892
71-255-0448,1998,4
14-478-3196,2001,8098
79-014-6587,1954,88280
47-142-3902,1992,96
53-507-0760,2010,6966
51-554-6486,1992,5
44-646-3096,1998,9462
50-256-3112,2000,30385
10-265-0309,2001,6934
40-618-7753,2008,9
65-103-1369,1988,4
98-122-2937,2010,37
81-557-7479,1994,378
59-900-0276,1985,84779
92-946-0280,2007,0
24-875-9296,1994,177
41-033-5909,2008,0
63-647-4589,1994,3588
76-486-3146,1998,12
44-835-3936,1991,2077
81-487-6054,2005,44166
26-360-9983,2000,27110
71-178-7700,2001,380
42-690-7417,2002,999
44-206-1072,2005,11806
92-459-3454,1988,5856
59-267-9133,2012,74
27-473-3615,1999,3
10-428-8118,2000,83
35-792-6013,2006,8880
24-016-0028,2012,6
79-755-6889,1996,532
46-736-9900,1991,4483
09-199-7491,1988,2
18-060-5243,1985,5766
26-693-3737,1990,59
40-664-2709,2011,39874
59-415-1487,1993,804
37-356-6927,2007,7
33-762-6851,1988,6798
59-827-7524,1997,66
87-660-3700,2002,875
26-448-0826,2010,3836
80-366-7744,1994,91865
68-762-3270,2004,328
47-905-3375,2006,23545
73-929-9407,2011,57663
36-592-7199,2004,14777
18-232-4362,2010,831
63-240-8707,2010,4416
46-030-8465,2008,04726
89-833-9271,2007,8
09-940-2618,1999,29666
04-402-9774,1992,4437
17-426-7867,1993,1611
64-383-4586,2001,58109
06-452-2978,2007,86
02-136-1417,1972,0
14-471-8616,2009,4523
25-080-8622,2010,493
39-200-9619,1997,9202
77-532-9799,2005,0
05-308-5151,1991,3438
31-270-3145,2006,9
96-100-5141,2006,92040
43-105-3107,2007,482
52-961-0046,2008,92619
05-554-3877,2011,67526
28-127-5229,1997,0
83-183-3619,1984,4
29-361-1814,1997,7
33-329-9169,2007,31483
02-965-7545,1988,32
30-919-3101,2004,23
90-928-5989,2010,71
64-554-7549,1992,58509
19-065-5190,2009,4
50-880-1400,2010,7
83-958-0240,2005,0227
96-782-5327,2006,77632
67-728-8918,1994,6
82-441-7965,1997,59427
28-002-8983,2007,9
83-539-1337,2002,9
49-384-8921,2006,2
91-929-9847,2012,13
81-215-0240,2007,77864
25-163-5836,2009,05
52-873-9799,1999,3343
98-439-0210,2004,805
23-927-6961,2005,07899
10-315-5179,1992,0067
12-038-9357,1992,7211
51-393-8782,1998,74848
54-473-8413,2002,16615
88-415-5707,1993,00202
65-410-9160,2004,38
94-721-7350,2004,0
60-597-9763,1984,51868
68-233-2573,1994,575
44-991-9827,1993,1864
48-768-0512,2003,306
87-260-0678,2001,79570
07-641-1307,2003,981
49-756-7990,2002,23837
82-102-9666,1993,6
02-015-9416,2010,39
18-672-7051,2009,6315
47-599-4387,2012,34199
46-461-6219,2011,182
59-302-1692,1984,0
25-035-4067,1997,5626
74-994-3150,2005,0715
81-783-5101,2010,159
39-639-6802,2006,99630
90-942-5117,1996,96167
86-818-7501,2013,498
28-105-4795,2004,35902
97-503-8371,1986,9354
23-799-1312,1999,433
46-767-2585,2001,34985
53-627-4013,2005,73
24-307-4424,1999,77997
31-935-5582,2008,64223
02-209-5314,2008,9817
09-945-4144,1999,0
78-219-4627,1988,34428
94-568-6539,2007,88
23-835-6884,1986,6579
87-099-6255,1967,46
95-080-7644,2012,17616
48-905-1125,2009,5729
38-248-7718,1990,4086
53-991-2103,1997,58
33-036-0835,1996,2
26-454-6308,1995,0933
83-761-2993,2003,51
95-712-9993,1994,4897
16-325-1665,1987,96
49-972-6885,2000,6
56-659-5512,2011,50
70-413-3602,2000,547
76-467-7710,1992,917
30-853-2454,2002,3
77-566-9620,2007,69588
73-744-8700,1994,772
78-356-6751,1987,0
67-058-1188,1999,31
07-437-2580,2003,541
66-962-5435,2009,767
36-705-3069,1995,463
93-988-8850,1997,439
77-690-9311,1997,8365
94-977-6186,1969,07
28-495-1949,1990,2
11-256-5653,1998,04
99-067-9014,2007,8
66-453-0082,2010,9318
96-570-0276,2005,56
56-550-0318,2005,18130
75-746-1894,2005,30
49-019-9012,1990,123
38-143-8561,2002,582
87-643-6327,2001,81
72-573-2842,1992,0728
95-830-8950,1997,156
19-827-8028,1969,75018
55-619-0549,1972,642
58-975-3137,2007,36
25-320-6103,2009,39901
15-276-5478,2008,9
55-508-4363,2000,1112
77-704-3150,2007,218
04-238-9127,2000,43
69-877-4519,2002,01781
45-220-5236,2001,11
08-361-9612,2013,8
16-779-4315,2006,83710
48-245-1614,2011,965
72-275-1549,2005,7327
89-018-6350,1993,172
16-639-8058,1994,9030
43-313-1434,2008,3
45-992-4409,1984,1
58-989-5180,2007,78
87-473-9934,1992,187
97-626-9722,2003,6
12-504-3983,2003,029
30-490-0040,2007,0
01-870-1756,2003,99
38-248-6989,2007,3633
16-373-3840,2002,479
10-046-7252,1987,5
44-715-2509,1996,0088
13-042-2226,2010,1
56-401-0724,1999,02
23-113-6913,2006,6
75-011-3090,2007,738
27-940-9105,2012,45040
72-834-2478,1995,19969
77-244-2996,1984,1969
32-536-9317,2009,9
97-208-6244,2003,75310
32-990-6644,2008,89918
22-624-3960,2007,4990
70-721-3970,1997,8614
63-450-9879,1999,18
05-886-3176,1995,69
66-659-6052,2005,48790
23-781-1813,1998,58327
45-043-7224,2003,31270
79-235-3728,2009,5
21-927-6262,1995,9904
16-524-9694,2009,3311
36-357-1427,1990,5
58-747-3171,1995,49592
43-349-2793,1999,5233
